Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás,SSD max írás,SSD max olvasás,TBW,Világítás,Hűtőborda,Ár (FT),Méretek,PCI-e 4.0 SSD
CORSAIR 2TB MP600 Core M.2 PCIe M.2 2280 CSSD-F2000GBMP600COR,M.2 2280,M.2 PCIe,QLC,2000 GB,3700 MB/s,4950 MB/s,450 TB,Nem,Igen,122290,80 x 23 x 15 mm,Igen
CORSAIR 2TB MP600 Pro Hydro X M.2 PCIe M.2 2280 CSSD-F2000GBMP600HXE,M.2 2280,M.2 PCIe,TLC,2000 GB,6550 MB/s,7000 MB/s,1400 TB,Nem,Igen,186790,70 x 23 x 19 mm,Igen
CORSAIR 2TB MP600 Pro M.2 PCIe M.2 2280 CSSD-F2000GBMP600PRO,M.2 2280,M.2 PCIe,TLC,2000 GB,6550 MB/s,7000 MB/s,1400 TB,Nem,Igen,170490,80 x 23 x 15 mm,Igen
CORSAIR 4TB MP600 Core M.2 PCIe M.2 2280 CSSD-F4000GBMP600COR,M.2 2280,M.2 PCIe,QLC,4000 GB,3950 MB/s,4950 MB/s,900 TB,Nem,Igen,251189,80 x 23 x 15 mm,Igen
CORSAIR 8TB MP400 M.2 PCIe M.2 2280 CSSD-F8000GBMP400,M.2 2280,M.2 PCIe,QLC,8000 GB,3000 MB/s,3480 MB/s,1600 TB,Nem,Nem,515790,80 x 23 x 15 mm,
CRUCIAL 2TB P2 M.2 PCIe M.2 2280 CT2000P2SSD8,M.2 2280,M.2 PCIe,TLC,2000 GB,1900 MB/s,2400 MB/s,600 TB,Nem,Nem,81990,,
CRUCIAL 2TB P2 M.2 PCIe M.2 2280 CT2000P2SSD8T OEM,M.2 2280,M.2 PCIe,TLC,2000 GB,1900 MB/s,2400 MB/s,600 TB,Nem,Nem,93990,,
DELL 512GB Internal M.2 SATA M.2 2280 AA615518,M.2 2280,M.2 SATA,TLC,512 GB,0 MB/s,0 MB/s,0 TB,Nem,Nem,81890,,
EMTEC 128GB X300 M.2 PCIe M.2 2280 ECSSD128GX300,M.2 2280,M.2 PCIe,TLC,128 GB,500 MB/s,1500 MB/s,0 TB,Nem,Nem,11490,80 x 22 x 2 mm,
EMTEC 1TB X250 M.2 SATA M.2 2280 ECSSD1TX250,M.2 2280,M.2 SATA,TLC,1000 GB,500 MB/s,520 MB/s,0 TB,Nem,Nem,48290,80 x 22 x 2 mm,
EMTEC 1TB X300 M.2 PCIe M.2 2280 ECSSD1TX300,M.2 2280,M.2 PCIe,TLC,1000 GB,2000 MB/s,2500 MB/s,0 TB,Nem,Nem,50991,80 x 22 x 2 mm,
"EMTEC 240GB X150 SATA 3 2.5"" ECSSD240GX150","2.5""",SATA 3,TLC,240 GB,500 MB/s,520 MB/s,0 TB,Nem,Nem,14489,100 x 69.85 x 7 mm,
"EMTEC 480GB X150 SATA 3 2.5"" ECSSD480GX150","2.5""",SATA 3,TLC,480 GB,500 MB/s,520 MB/s,0 TB,Nem,Nem,22090,100 x 69.85 x 7 mm,
EMTEC 512GB X250 M.2 SATA M.2 2280 ECSSD512GX250,M.2 2280,M.2 SATA,TLC,512 GB,500 MB/s,520 MB/s,0 TB,Nem,Nem,25890,80 x 22 x 2 mm,
EMTEC 512GB X300 M.2 PCIe M.2 2280 ECSSD512GX300,M.2 2280,M.2 PCIe,TLC,512 GB,1500 MB/s,1700 MB/s,0 TB,Nem,Nem,27790,80 x 22 x 2 mm,
"EMTEC 960GB X150 SATA 3 2.5"" ECSSD960GX150","2.5""",SATA 3,TLC,960 GB,500 MB/s,520 MB/s,0 TB,Nem,Nem,38090,100 x 69.85 x 7 mm,
GIGABYTE 2TB AORUS NVMe GEN4 SSD M.2 PCIe M.2 2280,M.2 2280,M.2 PCIe,TLC,2000 GB,4400 MB/s,5000 MB/s,3600 TB,Nem,Igen,132690,80.5 x 11.4 x 23.5 mm,Igen
GOODRAM 1TB IRDM M.2 PCIe M.2 2280 IR-SSDPR-P34B-01T-80,M.2 2280,M.2 PCIe,TLC,1000 GB,2000 MB/s,3200 MB/s,600 TB,Nem,Nem,46190,22 x 80 mm,
GOODRAM 1TB PX500 SATA 3 M.2 2280 SSDPR-PX500-01T-80,M.2 2280,SATA 3,TLC,1000 GB,1650 MB/s,2050 MB/s,0 TB,Nem,Nem,49889,,
"GOODRAM 240GB CX300 SATA 3 2.5"" SSDPR-CX300-240","2.5""",SATA 3,TLC,240 GB,460 MB/s,550 MB/s,0 TB,Nem,Nem,18390,,
GOODRAM 256GB PX500 SATA 3 M.2 2280 SSDPR-PX500-256-80,M.2 2280,SATA 3,TLC,256 GB,950 MB/s,1850 MB/s,0 TB,Nem,Nem,14889,,
GOODRAM 512GB PX500 SATA 3 M.2 2280 SSDPR-PX500-512-80,M.2 2280,SATA 3,TLC,512 GB,1600 MB/s,2000 MB/s,0 TB,Nem,Nem,27790,,
