Megnevezés,Méret,Csatlakozás,Technológia,Tároló kapacitás,SSD max írás,SSD max olvasás,TBW,Világítás,Hűtőborda,Ár (FT),Méretek,PCI-e 4.0 SSD
TRANSCEND 128GB MTS800 M.2 SATA M.2 2280 TS128GMTS800S,M.2 2280,M.2 SATA,MLC,128 GB,460 MB/s,560 MB/s,0 TB,Nem,Nem,23691,,
"TRANSCEND 128GB SSD370 SATA 3 2.5"" TS128GSSD370S","2.5""",SATA 3,MLC,128 GB,170 MB/s,550 MB/s,0 TB,Nem,Nem,19290,,
TRANSCEND 16GB MSA370 mSATA TS16GMSA370,mSATA,mSATA,MLC,16 GB,80 MB/s,510 MB/s,0 TB,Nem,Nem,10591,,
TRANSCEND 1TB 110s M.2 PCIe M.2 2280 TS1TMTE112S,M.2 2280,M.2 PCIe,TLC,1000 GB,1700 MB/s,1500 MB/s,400 TB,Nem,Nem,43390,80 x 22 x 3.58 mm,
TRANSCEND 1TB 240S M.2 PCIe M.2 2280 TS1TMTE240S,M.2 2280,M.2 PCIe,TLC,1000 GB,3200 MB/s,3800 MB/s,1700 TB,Nem,Nem,54190,80 x 22 x 3.58 mm,Igen
"TRANSCEND 1TB SSD230S SATA 3 2.5"" TS1TSSD230S","2.5""",SATA 3,TLC,1000 GB,520 MB/s,560 MB/s,560 TB,Nem,Nem,42490,100 x 69.85 x 6.8 mm,
TRANSCEND 256GB 220S M.2 PCIe M.2 2280 TS256GMTE220S,M.2 2280,M.2 PCIe,TLC,256 GB,1100 MB/s,3300 MB/s,550 TB,Nem,Nem,17390,80 x 22 x 3.58 mm,
TRANSCEND 256GB 370S mSATA TS256GMSA370S,mSATA,mSATA,TLC,256 GB,400 MB/s,530 MB/s,740 TB,Nem,Nem,41290,50.8 x 29.85 x 4.85 mm,
TRANSCEND 256GB 600S M.2 SATA M.2 2260 TS256GMTS600S,M.2 2260,M.2 SATA,MLC,256 GB,400 MB/s,520 MB/s,740 TB,Nem,Nem,36990,60 x 22 x 3.58 mm,
"TRANSCEND 256GB SSD370 SATA 3 2.5"" TS256GSSD370S","2.5""",SATA 3,MLC,256 GB,320 MB/s,570 MB/s,280 TB,Nem,Nem,33790,,
"TRANSCEND 256GB SSD452K SATA 3 2.5"" TS256GSSD452K","2.5""",SATA 3,TLC,256 GB,520 MB/s,560 MB/s,0 TB,Nem,Nem,18990,100 x 69.85 x 6.8 mm,
TRANSCEND 32GB MTS400 M.2 SATA M.2 2242 TS32GMTS400S,M.2 2242,M.2 SATA,MLC,32 GB,460 MB/s,560 MB/s,45 TB,Nem,Nem,10390,,
TRANSCEND 480GB MTS420 M.2 SATA M.2 2242 TS480GMTS420S,M.2 2242,M.2 SATA,TLC,480 GB,500 MB/s,560 MB/s,0 TB,Nem,Nem,26789,,
TRANSCEND 480GB MTS820 M.2 SATA M.2 2280 TS480GMTS820S,M.2 2280,M.2 SATA,MLC,480 GB,510 MB/s,560 MB/s,0 TB,Nem,Nem,22790,,
"TRANSCEND 480GB SSD220S SATA 3 2.5"" TS480GSSD220S","2.5""",SATA 3,TLC,480 GB,450 MB/s,550 MB/s,0 TB,Nem,Nem,23291,,
TRANSCEND 512GB 110s M.2 PCIe M.2 2280 TS512GMTE112S,M.2 2280,M.2 PCIe,TLC,512 GB,1500 MB/s,1800 MB/s,0 TB,Nem,Nem,23490,80 x 22 x 3.58 mm,
TRANSCEND 512GB 830S M.2 SATA M.2 2280 TS512GMTS830S,M.2 2280,M.2 SATA,TLC,512 GB,500 MB/s,560 MB/s,560 TB,Nem,Nem,23390,80 x 22 x 3.58 mm,
TRANSCEND 64GB HSD370 SATA 3 Half Slim TS64GHSD370,Half Slim,SATA 3,MLC,64 GB,320 MB/s,550 MB/s,90 TB,Nem,Nem,19790,,
TRANSCEND 64GB MTS400 M.2 SATA M.2 2242 TS64GMTS400,M.2 2242,M.2 SATA,MLC,64 GB,160 MB/s,560 MB/s,90 TB,Nem,Nem,11490,,
TRANSCEND 64GB MTS400 M.2 SATA M.2 2242 TS64GMTS400S,M.2 2242,M.2 SATA,MLC,64 GB,460 MB/s,560 MB/s,90 TB,Nem,Nem,14390,,
TRANSCEND 64GB MTS800 M.2 SATA M.2 2280 TS64GMTS800S,M.2 2280,M.2 SATA,MLC,64 GB,450 MB/s,500 MB/s,0 TB,Nem,Nem,14590,,
"TRANSCEND 64GB PATA PATA/IDE 2.5"" TS64GPSD330","2.5""",PATA/IDE,MLC,64 GB,67 MB/s,119 MB/s,90 TB,Nem,Nem,31090,,
"TRANSCEND 64GB SSD370 SATA 3 2.5"" TS64GSSD370S","2.5""",SATA 3,MLC,64 GB,80 MB/s,450 MB/s,90 TB,Nem,Nem,16391,,
TRANSCEND 960GB JetDrive 820 M.2 PCIe M.2 2280 TS960GJDM820,M.2 2280,M.2 PCIe,TLC,960 GB,950 MB/s,950 MB/s,0 TB,Nem,Nem,120790,,
TRANSCEND 960GB MTS820 M.2 SATA M.2 2280 TS960GMTS820S,M.2 2280,M.2 SATA,MLC,960 GB,510 MB/s,560 MB/s,0 TB,Nem,Nem,37690,,
UMAX 256GB Internal M.2 SATA M.2 2280 UMM250005,M.2 2280,M.2 SATA,TLC,256 GB,500 MB/s,550 MB/s,0 TB,Nem,Nem,16990,,
V7 1TB S6000 M.2 SATA M.2 2280 V7S6000M2-1000,M.2 2280,M.2 SATA,TLC,1000 GB,520 MB/s,560 MB/s,0 TB,Nem,Nem,49990,22 x 80 x 3.8 mm,
"V7 1TB S6000 SATA 3 2.5"" V7S600025-1000","2.5""",SATA 3,TLC,1000 GB,520 MB/s,560 MB/s,0 TB,Nem,Nem,50690,100.45 x 69.85 x 7 mm,
V7 256GB S6000 M.2 SATA M.2 2280 V7S6000M2-250,M.2 2280,M.2 SATA,TLC,256 GB,515 MB/s,560 MB/s,0 TB,Nem,Nem,16890,22 x 80 x 3.8 mm,
V7 500GB S6000 M.2 SATA M.2 2280 V7S6000M2-500,M.2 2280,M.2 SATA,TLC,500 GB,520 MB/s,560 MB/s,0 TB,Nem,Nem,26490,22 x 80 x 3.8 mm,
"V7 500GB S6000 SATA 3 2.5"" V7S600025-500","2.5""",SATA 3,TLC,500 GB,520 MB/s,560 MB/s,0 TB,Nem,Nem,25991,100.45x69.85x7 mm,
"VERBATIM 1TB Vi500 S3 SATA 3 2.5"" 49353","2.5""",SATA 3,TLC,1000 GB,460 MB/s,550 MB/s,0 TB,Nem,Nem,41290,7 x 69.9 x 100.5 mm,
VERBATIM 1TB Vi560 S3 M.2 SATA M.2 2280 49364,M.2 2280,M.2 SATA,TLC,1000 GB,520 MB/s,560 MB/s,450 TB,Nem,Nem,38490,80 x 22.1 x 2.3 mm,
VERBATIM 256GB Vi560 S3 M.2 SATA M.2 2280 49362,M.2 2280,M.2 SATA,TLC,256 GB,460 MB/s,560 MB/s,110 TB,Nem,Nem,15490,80 x 22.1 x 2.3 mm,
VERBATIM 512GB Vi560 S3 M.2 SATA M.2 2280 49363,M.2 2280,M.2 SATA,TLC,512 GB,520 MB/s,560 MB/s,240 TB,Nem,Nem,23390,80 x 22.1 x 2.3 mm,
WD 1TB Black SN750 With Heatsink M.2 PCIe M.2 2280 WDS100T3XHC,M.2 2280,M.2 PCIe,TLC,1000 GB,3000 MB/s,3470 MB/s,600 TB,Nem,Igen,85190,80 x 24.2 x 8.1 mm,
WD 1TB Black SN850 M.2 PCIe M.2 2280 WDBAPY0010BNC-WRSN,M.2 2280,M.2 PCIe,TLC,1000 GB,5300 MB/s,7000 MB/s,600 TB,Nem,Nem,119790,80 x 22 x 2.38 mm,Igen
WD 1TB Blue M.2 SATA M.2 2280 WDBK3U0010BNC,M.2 2280,M.2 SATA,TLC,1000 GB,525 MB/s,545 MB/s,400 TB,Nem,Nem,58890,,
WD 1TB Blue M.2 SATA M.2 2280 WDS100T1B0B,M.2 2280,M.2 SATA,TLC,1000 GB,525 MB/s,545 MB/s,400 TB,Nem,Nem,71990,,
"WD 1TB Blue SATA 3 2.5"" WDBNCE0020PNC","2.5""",SATA 3,TLC,1000 GB,530 MB/s,560 MB/s,400 TB,Nem,Nem,125291,,
WD 250GB Black SN750 M.2 PCIe M.2 2280 WDBRPG2500ANC,M.2 2280,M.2 PCIe,TLC,250 GB,1600 MB/s,3100 MB/s,200 TB,Nem,Nem,38990,80 x 24.2 x 8.1 mm,
WD 250GB Blue SN500 NVMe M.2 PCIe M.2 2280 WDS250G1B0C,M.2 2280,M.2 PCIe,TLC,250 GB,1300 MB/s,1700 MB/s,150 TB,Nem,Nem,19590,80 x 22 x 2.38 mm,
WD 2TB Black SN750 With Heatsink M.2 PCIe M.2 2280 WDS200T3XHC,M.2 2280,M.2 PCIe,TLC,2000 GB,2900 MB/s,3400 MB/s,600 TB,Nem,Nem,135490,80 x 24.2 x 8.1 mm,
WD 2TB Black SN850 M.2 PCIe M.2 2280 WDBAPY0020BNC-WRSN,M.2 2280,M.2 PCIe,TLC,2000 GB,5100 MB/s,7000 MB/s,1200 TB,Nem,Nem,271990,22 x 2.38 x 80 mm,Igen
WD 4TB Black SN750 M.2 PCIe M.2 2280 WDS400T3X0C,M.2 2280,M.2 PCIe,TLC,4000 GB,3100 MB/s,3400 MB/s,1200 TB,Nem,Nem,367389,80 x 24.2 x 8.1 mm,
"WD 4TB Blue SATA 3 2.5"" WDS400T2B0A","2.5""",SATA 3,TLC,4000 GB,530 MB/s,560 MB/s,600 TB,Nem,Nem,163490,,
"WD 4TB Red SA500 NAS SATA 3 2.5"" WDS400T1R0A","2.5""",SATA 3,TLC,4000 GB,530 MB/s,560 MB/s,2500 TB,Nem,Nem,214090,100 x 69.85 x 7 mm,
WD 500GB Black SN850 M.2 PCIe M.2 2280 WDBAPY5000ANC-WRSN,M.2 2280,M.2 PCIe,TLC,500 GB,4100 MB/s,7000 MB/s,300 TB,Nem,Nem,76290,80 x 22 x 2.38 mm,Igen
WD 500GB Blue SN550 NVMe M.2 PCIe M.2 2280 WDBA3V0010BNC,M.2 2280,M.2 PCIe,TLC,500 GB,1750 MB/s,2400 MB/s,300 TB,Nem,Nem,64690,80 x 22 x 2.38 mm,
"ZADAK 128GB TWSS3 SATA 3 2.5"" ZS128GTWSS3-1","2.5""",SATA 3,TLC,128 GB,540 MB/s,560 MB/s,0 TB,Nem,Nem,10690,100 x 69.9 x 7 mm,Nem
"ZADAK 256GB TWSS3 SATA 3 2.5"" ZS256GTWSS3-1","2.5""",SATA 3,TLC,256 GB,540 MB/s,560 MB/s,0 TB,Nem,Nem,14089,100 x 69.9 x 7 mm,Nem
"ZADAK 512GB TWSS3 SATA 3 2.5"" ZS512GTWSS3-1","2.5""",SATA 3,TLC,512 GB,540 MB/s,560 MB/s,0 TB,Nem,Nem,24790,100 x 69.9 x 7 mm,Nem
