,name,Cikkszám,Gyártó,Garancia,Kapacitás,Csatolófelület,Olvasási sebesség,Írási sebesség,price
49,Samsung 860 EVO 250GB SATA M.2 (2280) belső Solid State Drive (SSD) (MZ-N6E250),539625,SAMSUNG,3 éves,250 GB,M.2 PCIe,550 MB/sec,520 MB/sec,14 490 
50,Kingmax 2280 PCIe NVMe 256GB PX3480 M.2 SSD (KMPX3480-256G),636637,KINGMAX,5 éves,256 GB,M.2 PCIe,3000 MB/sec,1000 MB/sec,15 590 
51,"Samsung T7 Touch 2TB külső SSD, fekete",745046,SAMSUNG,3 éves,2 TB,USB 3.2,1050 MB/sec,1000 MB/sec,130 990 
52,Kingston A400 M.2 SATA 120GB SSD (SA400M8/120G),630060,KINGSTON,3 éves,120 GB,SATA III,500 MB/sec,320 MB/sec,9 790 
53,"Kingston A400 960 GB 2.5"" SATA3 SSD",640729,KINGSTON,3 éves,960 GB,SATA III,500 MB/sec,450 MB/sec,36 990 
54,"Silicon Power S55 240GB 2,5"" SSD (SP240GBSS3S55S25)",419878,SILICON POWER,3 éves,240 GB,SATA III,550 MB/sec,450 MB/sec,12 390 
55,Goodram S400U M.2 SATA 2242 120GB belső SSD meghajtó,846510,GOODRAM,3 éves,120 GB,M.2 SATA,550 MB/sec,530 MB/sec,8 690 
56,Samsung 860 EVO 1TB SATA M.2 (2280) belső Solid State Drive (SSD) (MZ-N6E1T0) - [Bontott],863273,SAMSUNG,3 éves,1 000 GB,M.2 PCIe,550 MB/sec,520 MB/sec,35 590 
57,Kingmax 2280 PCIe NVMe 1TB M.2 SSD (PQ3480),856709,KINGMAX,3 éves,1 TB,M.2 PCIe,2500 MB/sec,2100 MB/sec,40 990 
58,"Gigabyte 2.5"" SATA3 120GB belső SSD meghajtó",846477,GIGABYTE,3 éves,120 GB,SATA III,500 MB/sec,380 MB/sec,9 290 
59,"Samsung 2TB - MU-PC2T0R/WW külső SSD (T7 external, piros, USB 3.2, 2TB)",787519,SAMSUNG,3 éves,2 TB,USB 3.2,1050 MB/sec,1000 MB/sec,109 990 
60,"Samsung T5 2TB USB 3.1 Gen 2 (10Gbps, Type-C) külső Solid State Drive (Hordozható SSD) Éjfekete (MU-PA2T0B)",521977,SAMSUNG,3 éves,2 TB,USB 3.1,540 MB/sec,540 MB/sec,129 990 
61,Western Digital Green 2.5 240 GB SATA3 WDS240G2G0A,612807,WD,3 éves,240 GB,SATA III,545 MB/sec,,14 390 
